Problem ID;Items count;Known result;Brute force result;Time [s];Relative error;Cost to weight ration heuristics result;Time [s];Relative error
9023;4;387;387;0.000013345277927389369356915;0;387;0.00000615935904341047816473;0
9024;4;393;393;0.000012660904700343760671945;0;320;0.00000615935904341047816473;0.1857506361323155216284987277
9025;4;295;295;0.00002121557003841386923407;0;219;0.00000615935904341047816473;0.2576271186440677966101694915
9026;4;512;512;0.000013345277927389369356915;0;494;0.000005132799202842065137275;0.03515625
9027;4;184;184;0.00001300309131386656501443;0;134;0.000005817172429887673822245;0.2717391304347826086956521739
9028;4;317;317;0.00001984682358432265186413;0;172;0.00000479061258931926079479;0.4574132492113564668769716088
9029;4;372;372;0.000011976531473298151986975;0;372;0.00000547498581636486947976;0
9030;4;296;296;0.00001231871808682095632946;0;296;0.000005132799202842065137275;0
9031;4;309;309;0.000025663996014210325686375;0;309;0.00000547498581636486947976;0
9032;4;501;501;0.000013345277927389369356915;0;501;0.00002874367553591556476874;0
9033;4;100;100;0.000014714024381480586726855;0;100;0.00000615935904341047816473;0
9034;4;253;253;0.000016767144062617412781765;0;253;0.000004448425975796456452305;0
9035;4;585;585;0.0000136874645409121736994;0;585;0.00000615935904341047816473;0
9036;4;584;584;0.00001437183776795778238437;0;584;0.000005817172429887673822245;0
9037;4;231;231;0.00001916245035727704317916;0;99;0.000005132799202842065137275;0.5714285714285714285714285714
9038;4;251;251;0.000011976531473298151986975;0;251;0.00000479061258931926079479;0
9039;4;159;159;0.000011976531473298151986975;0;159;0.00000547498581636486947976;0
9040;4;314;314;0.00001437183776795778238437;0;314;0.000007185918883978891192185;0
9041;4;401;401;0.000033192101511712021221045;0;401;0.000007185918883978891192185;0
9042;4;437;437;0.0000136874645409121736994;0;437;0.00001505621099500339106934;0
9043;4;398;398;0.000013345277927389369356915;0;398;0.000005817172429887673822245;0
9044;4;505;505;0.00001300309131386656501443;0;505;0.000005817172429887673822245;0
9045;4;319;319;0.00001847807713023143449419;0;319;0.000005817172429887673822245;0
9046;4;217;217;0.00001300309131386656501443;0;217;0.000005817172429887673822245;0
9047;4;330;330;0.00001300309131386656501443;0;225;0.000005132799202842065137275;0.3181818181818181818181818182
9048;4;254;254;0.00001779370390318582580922;0;243;0.00000547498581636486947976;0.0433070866141732283464566929
9049;4;462;462;0.00001300309131386656501443;0;299;0.00000547498581636486947976;0.3528138528138528138528138528
9050;10;798;798;0.0007709464402668781836187056;0;798;0.00001026559840568413027455;0
9051;10;942;942;0.0008859211424105404426936656;0;942;0.00001231871808682095632946;0
9052;10;740;740;0.0007357012190740293363427505;0;736;0.000011976531473298151986975;0.0054054054054054054054054054
9053;10;956;956;0.0007230403143736855756708055;0;956;0.000010607785019206934617035;0
9054;10;1501;1501;0.0009139804447194103987774357;0;1371;0.000016767144062617412781765;0.0866089273817455029980013324
9055;10;1351;1351;0.0008985820471108842033656107;0;1346;0.000011292158246252543302005;0.0037009622501850481125092524
9056;10;1375;1375;0.0008233009921358672480189106;0;1375;0.000011292158246252543302005;0
